class,image_path,name,xmax,xmin,ymax,ymin
6,94bbab7bca1ac8d957227c5b0fc686bc.jpg,BAD_BILLBOARD,960,872.1763,225.66974,155.5443
6,94bbab7bca1ac8d957227c5b0fc686bc.jpg,BAD_BILLBOARD,953.9205,737.4396,237.62354,136.04672
6,94bbab7bca1ac8d957227c5b0fc686bc.jpg,BAD_BILLBOARD,159.6882,41.200443,261.53433,199.14192
6,94bbab7bca1ac8d957227c5b0fc686bc.jpg,BAD_BILLBOARD,934.90515,832.18384,233.70117,145.15706
6,94bbab7bca1ac8d957227c5b0fc686bc.jpg,BAD_BILLBOARD,765.0882,377.89865,263.83884,95.711945
6,94bbab7bca1ac8d957227c5b0fc686bc.jpg,BAD_BILLBOARD,513.81915,416.7551,282.84937,212.61064
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,314.2142,6.6564894,324.86978,76.981865
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,473.02975,254.55836,263.53943,140.08163
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,405.48557,110.3526,288.1551,112.06831
6,737e9f6ef06962b76e54f3cfb7ea620c.jpg,BAD_BILLBOARD,949.80927,561.1972,150.49039,0
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,171.21333,0,339.9524,56.436287
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,486.90247,203.968,308.86642,95.01613
4,737e9f6ef06962b76e54f3cfb7ea620c.jpg,CONSTRUCTION_ROAD,447.38876,318.34995,254.44385,154.32686
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,701.05725,536.8087,211.19446,130.49173
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,561.2479,504.22067,185.54918,146.67598
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,583.8738,519.52246,219.94032,175.37666
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,793.3039,672.1376,198.46732,127.80098
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,470.42096,409.09787,183.90604,140.60994
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,729.4303,656.8673,201.0128,155.29669
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,467.80783,323.21317,189.01854,129.24635
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,595.9002,121.85911,428.82132,106.30161
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,669.48376,548.3648,263.59543,198.6295
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,172.6079,69.97063,274.85873,211.73907
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,301.6289,220.03722,343.40884,296.46417
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,757.75397,638.7665,205.60672,144.96523
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,497.89584,279.54395,206.11584,120.793465
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,699.4122,506.74265,283.93576,178.52353
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,777.1995,702.7956,194.44272,140.86841
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,591.87305,507.38138,230.41188,158.90994
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,677.84204,564.1251,202.94783,147.89194
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,482.14203,388.32477,188.47296,131.0821
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,525.18964,241.12108,418.1672,160.4731
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,822.6888,630.71545,209.38051,110.84928
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,429.58237,326.57208,399.47543,328.52847
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,461.1407,418.89374,179.4132,148.03185
3,dafca3ebb53a8cf84ea7fb90929ae5cd.jpg,GARBAGE,581.90497,499.28812,197.84538,136.22174
