class,image_path,name,xmax,xmin,ymax,ymin
9.0,cdd3f068f00792f39d0c65b5a2fc8799.jpg,CLUTTER_SIDEWALK,245.5,91.5,118.5,82.0
4.0,d885311af85fbc8c7aec811ca9eefa3e.jpg,CONSTRUCTION_ROAD,506.5,263.5,145.5,76.5
9.0,9d20fda7ea773092aa59494e662b676a.jpg,CLUTTER_SIDEWALK,225.5,-22.0,158.0,105.0
3.0,9250dca12a47d039f2c9eec3dec17f9a.jpg,GARBAGE,185.5,155.5,119.0,92.5
3.0,dc7f5220d3c35ee8a312f81df4c6a782.jpg,GARBAGE,322.0,283.5,167.0,141.0
3.0,4cf1647417cce727470b6b8f3cd03905.jpg,GARBAGE,360.5,335.0,139.5,121.0
9.0,fa0d2a29cee376a52f716dfd17be042a.jpg,CLUTTER_SIDEWALK,300.0,-80.0,223.5,149.0
9.0,ca54a1eb25a79cc374c3fb00339d85c4.jpg,CLUTTER_SIDEWALK,491.5,373.5,147.0,109.5
2.0,ac5daf7ddd9ce1cc47a9bd319d17a7d7.jpg,POTHOLES,159.5,63.5,203.0,145.5
9.0,9473dd054198b62b760a8dc0f7c82584.jpg,CLUTTER_SIDEWALK,272.0,-43.5,218.5,136.5
3.0,c315d43fc1f5887cccb22d4abca93e85.jpg,GARBAGE,90.0,18.5,162.0,112.5
2.0,26cfdd8c4a9debb3b4190c0cada5515c.jpg,POTHOLES,420.0,308.5,287.0,189.5
4.0,6a12d83907d53781703e3521da90f4b1.jpg,CONSTRUCTION_ROAD,194.5,65.5,135.0,52.5
3.0,270c3a56f6a9abef21d61aec1eb53e88.jpg,GARBAGE,459.0,405.5,88.0,58.5
2.0,889a6c45a323f0c16b6d085e2a96600b.jpg,POTHOLES,180.5,31.5,244.5,174.0
2.0,c4f9c3cebc9aad82488323d8741c52e9.jpg,POTHOLES,306.5,250.0,158.0,112.0
3.0,578d14658f29c05f11bff0dab4b637d4.jpg,GARBAGE,94.5,43.5,137.0,100.5
